#Digilent WaveForms Oscilloscope XY
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-10-08 17:47:11.377

Channel 1 (V),Channel 2 (V)
-0.008463174524615105,-0.4027599466487754
-0.008463174524615105,-0.4027599466487754
-0.008119321551161119,-0.4027599466487754
-0.008119321551160963,-0.4065607491523301
-0.008119321551160963,-0.4065607491523336
-0.008463174524615105,-0.4065607491523336
-0.008807027498069093,-0.4065607491523336
-0.009150880471523079,-0.4065607491523336
-0.009150880471523392,-0.4103615516558918
-0.009150880471523392,-0.4103615516558918
-0.009150880471523392,-0.4141623541594484
-0.008807027498069562,-0.4141623541594501
-0.008807027498069249,-0.4141623541594501
-0.008807027498069249,-0.4141623541594501
-0.008807027498069249,-0.4179631566630066
-0.008807027498069249,-0.4179631566630083
-0.008807027498069249,-0.4179631566630083
-0.008463174524615105,-0.4179631566630083
-0.008119321551161119,-0.4179631566630083
-0.008463174524614793,-0.4217639591665631
-0.008807027498068781,-0.4217639591665665
-0.008807027498069249,-0.4217639591665665
-0.009150880471523236,-0.4217639591665665
-0.009494733444977223,-0.4255647616701213
-0.00915088047152386,-0.4255647616701247
-0.009494733444977536,-0.4255647616701247
-0.009150880471523548,-0.4293655641736813
-0.009150880471523392,-0.429365564173683
-0.009150880471523392,-0.429365564173683
-0.009150880471523392,-0.429365564173683
-0.009150880471523392,-0.429365564173683
-0.009150880471523392,-0.4331663666772378
-0.009150880471523392,-0.4331663666772412
-0.008463174524615105,-0.4331663666772412
-0.008463174524615105,-0.4331663666772412
-0.008807027498069093,-0.4369671691807977
-0.009150880471523079,-0.4369671691807994
-0.009494733444977536,-0.4369671691807994
-0.009494733444977536,-0.4369671691807994
-0.009838586418431522,-0.4407679716843559
-0.009494733444977848,-0.4407679716843577
-0.009494733444977536,-0.4407679716843577
-0.009494733444977536,-0.4407679716843577
-0.009494733444977536,-0.4445687741879142
-0.009494733444977536,-0.4445687741879159
-0.009494733444977536,-0.4445687741879159
-0.009150880471523392,-0.4445687741879159
-0.009150880471523392,-0.4445687741879159
-0.009150880471523392,-0.4483695766914707
-0.008807027498069718,-0.4483695766914741
-0.009150880471523392,-0.4483695766914741
-0.009150880471523392,-0.4483695766914741
-0.009494733444977223,-0.4521703791950289
-0.00983858641843121,-0.4521703791950323
-0.009838586418431678,-0.4521703791950323
-0.009838586418431678,-0.4559711816985889
-0.01018243939188551,-0.4559711816985906
-0.009838586418432146,-0.4559711816985906
-0.009494733444977536,-0.4559711816985906
-0.009494733444977536,-0.4559711816985906
-0.009494733444977536,-0.4597719842021454
-0.009494733444977536,-0.4597719842021488
-0.009494733444977536,-0.4597719842021488
-0.009494733444977536,-0.4597719842021488
-0.009150880471523548,-0.4635727867057053
-0.009150880471523392,-0.4635727867057071
-0.009494733444977536,-0.4635727867057071
-0.009494733444977536,-0.4635727867057071
-0.009838586418431522,-0.4635727867057071
-0.01018243939188551,-0.4673735892092618
-0.01018243939188582,-0.4673735892092652
-0.01018243939188582,-0.4673735892092652
-0.01018243939188582,-0.4711743917128218
