#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-12-07 16:08:38.547

Frequency (Hz),Channel 1 (dBV),Channel 2 (dBV)
0.464,-60.40094820234783,-82.4791614971713
0.466,-57.81287110582257,-81.72354045988938
0.468,-71.18716627528937,-80.30769790152058
0.47,-59.830713840958,-78.13132808658193
0.472,-60.70185777395176,-76.41300413226111
0.474,-82.53962166301298,-75.81735247921218
0.476,-60.52867833970284,-76.43918340805909
0.478,-62.49686644114405,-77.99714687672208
0.48,-62.40033153156601,-79.51200974177016
0.482,-58.02410666752003,-79.47162351949831
0.484,-73.80125550522229,-79.32857270137617
0.486,-56.5053952993739,-79.4170854836558
0.488,-58.11573638096342,-79.35599309455101
0.49,-57.88289413344116,-81.45977405198435
0.492,-60.63424757886161,-87.26921793499062
0.494,-67.2270366695485,-97.43623647863441
0.496,-73.23563222777477,-95.90644627448413
0.498,-53.82143481435578,-91.81388380813353
0.5,-52.4383741552445,-84.82372582272879
0.502,-52.38067489526691,-81.18085211313824
0.504,-54.63867146430674,-81.59957139987011
0.506,-69.32576036020799,-83.66125335411759
0.508,-61.97340465845016,-86.17364184321239
0.51,-60.98525991841528,-93.29629586964296
0.512,-75.56224019316117,-95.88455104904055
0.514,-62.83965247210938,-93.65036281137671
0.516,-71.87229710785431,-87.72266250348687
0.518,-69.11429835179761,-81.00791061685635
0.52,-78.61478214568722,-77.08245142371251
0.522,-64.4836393406496,-75.72811448795389
0.524,-71.32048026982051,-75.83053052623309
0.526,-64.59368962231278,-77.66019222222324
0.528,-63.74913298257701,-81.54348715186246
0.53,-71.43419935336294,-87.58257782711772
0.532,-62.3227415749004,-97.46515414173972
0.534,-75.04657369532465,-94.53351274023419
0.536,-67.37721261701138,-88.56275415219221
0.538,-66.68163317038989,-90.62792300888786
0.54,-64.49346657000132,-89.72554658732776
0.542,-62.85568642485249,-87.56014029248649
0.544,-63.43635884947921,-84.17489936097594
0.546,-60.6407963800412,-82.50871011217734
0.548,-67.91684021486491,-82.85710520737231
0.55,-68.26881977233656,-85.02419687818742
0.552,-70.99839142817395,-86.50355513054869
0.554,-75.07510359870516,-82.69664032840409
0.556,-82.07960144961929,-82.76749510216975
0.5580000000000001,-69.31643952399605,-86.33384550258685
0.5600000000000001,-73.08648093731463,-92.20927720092449
0.5620000000000001,-71.56417889088465,-90.16390778157023
0.5639999999999999,-67.56142291633142,-87.47178239204358
0.5659999999999999,-61.41109457535732,-86.59263888128555
0.5679999999999999,-66.68502946072334,-86.4303216363537
0.57,-60.21783165940963,-93.00084010303358
0.572,-60.68248687014787,-93.84772247278175
0.574,-63.31203660289606,-86.60532062587505
0.576,-61.33897081993736,-85.07381056683501
0.578,-60.49714344896341,-85.91623270834336
0.58,-72.41452903301041,-89.25861172878956
0.582,-68.47242197389862,-88.94816424626372
0.584,-78.75576212889625,-86.74844088756323
0.586,-68.93090594700239,-89.30466508561659
0.588,-72.08375232618137,-91.16010414803155
