,time,V1,V2,sineoutput_freq,sineoutput_amplitude,Resistance,Inductance
3423,0.0015559090909090909,6.077048157296448,5.199622943596053,2200,5,220,0.1
3424,0.0015563636363636363,6.0694774815235,5.199622943596053,2200,5,220,0.1
3425,0.0015568181818181818,6.058121467864077,5.195822141092495,2200,5,220,0.1
3426,0.0015572727272727272,6.050550792091128,5.195822141092495,2200,5,220,0.1
3427,0.0015577272727272727,6.042980116318179,5.192021338588937,2200,5,220,0.1
3428,0.0015581818181818181,6.039194778431705,5.195822141092495,2200,5,220,0.1
3429,0.0015586363636363636,6.031624102658756,5.195822141092495,2200,5,220,0.1
3430,0.001559090909090909,6.020268088999333,5.199622943596053,2200,5,220,0.1
3431,0.0015595454545454545,6.016482751112859,5.195822141092495,2200,5,220,0.1
3432,0.00156,6.00891207533991,5.195822141092495,2200,5,220,0.1
3433,0.0015604545454545454,5.997556061680487,5.195822141092495,2200,5,220,0.1
3434,0.0015609090909090909,5.989985385907539,5.188220536085378,2200,5,220,0.1
3435,0.0015613636363636363,5.98241471013459,5.192021338588937,2200,5,220,0.1
3436,0.0015618181818181818,5.974844034361641,5.188220536085378,2200,5,220,0.1
3437,0.0015622727272727273,5.974844034361641,5.188220536085378,2200,5,220,0.1
3438,0.0015627272727272727,5.967273358588693,5.18441973358182,2200,5,220,0.1
3439,0.0015631818181818182,5.959702682815744,5.18441973358182,2200,5,220,0.1
3440,0.0015636363636363636,5.944561331269846,5.1806189310782615,2200,5,220,0.1
3441,0.001564090909090909,5.936990655496897,5.18441973358182,2200,5,220,0.1
3442,0.0015645454545454545,5.929419979723948,5.188220536085378,2200,5,220,0.1
3443,0.001565,5.921849303951,5.18441973358182,2200,5,220,0.1
3444,0.0015654545454545454,5.914278628178051,5.18441973358182,2200,5,220,0.1
3445,0.001565909090909091,5.910493290291577,5.1806189310782615,2200,5,220,0.1
3446,0.0015663636363636364,5.906707952405102,5.1806189310782615,2200,5,220,0.1
3447,0.0015668181818181818,5.899137276632154,5.176818128574704,2200,5,220,0.1
3448,0.0015672727272727273,5.891566600859205,5.176818128574704,2200,5,220,0.1
3449,0.0015677272727272727,5.887781262972731,5.1806189310782615,2200,5,220,0.1
3450,0.0015681818181818182,5.880210587199782,5.1806189310782615,2200,5,220,0.1
3451,0.0015686363636363636,5.865069235653885,5.176818128574704,2200,5,220,0.1
3452,0.001569090909090909,5.857498559880936,5.173017326071146,2200,5,220,0.1
3453,0.0015695454545454545,5.849927884107987,5.176818128574704,2200,5,220,0.1
3454,0.00157,5.842357208335039,5.176818128574704,2200,5,220,0.1
3455,0.0015704545454545455,5.83478653256209,5.173017326071146,2200,5,220,0.1
3456,0.001570909090909091,5.827215856789141,5.173017326071146,2200,5,220,0.1
3457,0.0015713636363636364,5.823430518902667,5.169216523567587,2200,5,220,0.1
3458,0.0015718181818181818,5.812074505243244,5.165415721064029,2200,5,220,0.1
3459,0.0015722727272727273,5.804503829470295,5.165415721064029,2200,5,220,0.1
3460,0.0015727272727272727,5.793147815810872,5.1616149185604705,2200,5,220,0.1
3461,0.0015731818181818182,5.7893624779243975,5.157814116056913,2200,5,220,0.1
3462,0.0015736363636363636,5.7817918021514485,5.157814116056913,2200,5,220,0.1
3463,0.001574090909090909,5.7742211263785,5.157814116056913,2200,5,220,0.1
3464,0.0015745454545454546,5.770435788492025,5.157814116056913,2200,5,220,0.1
3465,0.001575,5.762865112719077,5.150212511049796,2200,5,220,0.1
3466,0.0015754545454545455,5.751509099059654,5.150212511049796,2200,5,220,0.1
3467,0.001575909090909091,5.743938423286705,5.154013313553354,2200,5,220,0.1
3468,0.0015763636363636364,5.740153085400231,5.154013313553354,2200,5,220,0.1
3469,0.0015768181818181818,5.732582409627282,5.154013313553354,2200,5,220,0.1
3470,0.0015772727272727273,5.728797071740808,5.150212511049796,2200,5,220,0.1
3471,0.0015777272727272727,5.717441058081385,5.150212511049796,2200,5,220,0.1
3472,0.0015781818181818182,5.706085044421962,5.150212511049796,2200,5,220,0.1
3473,0.0015786363636363637,5.702299706535487,5.146411708546238,2200,5,220,0.1
3474,0.0015790909090909091,5.694729030762539,5.1426109060426795,2200,5,220,0.1
3475,0.0015795454545454546,5.690943692876064,5.1426109060426795,2200,5,220,0.1
3476,0.00158,5.683373017103116,5.146411708546238,2200,5,220,0.1
3477,0.0015804545454545455,5.672017003443693,5.138810103539122,2200,5,220,0.1
3478,0.001580909090909091,5.668231665557218,5.135009301035563,2200,5,220,0.1
3479,0.0015813636363636364,5.66066098978427,5.131208498532005,2200,5,220,0.1
3480,0.0015818181818181818,5.653090314011321,5.135009301035563,2200,5,220,0.1
3481,0.0015822727272727273,5.645519638238372,5.135009301035563,2200,5,220,0.1
3482,0.0015827272727272728,5.641734300351898,5.135009301035563,2200,5,220,0.1
3483,0.0015831818181818182,5.634163624578949,5.131208498532005,2200,5,220,0.1
3484,0.0015836363636363637,5.6265929488060005,5.131208498532005,2200,5,220,0.1
3485,0.0015840909090909091,5.6190222730330515,5.127407696028446,2200,5,220,0.1
3486,0.0015845454545454546,5.607666259373628,5.127407696028446,2200,5,220,0.1
3487,0.001585,5.603880921487154,5.123606893524888,2200,5,220,0.1
3488,0.0015854545454545455,5.596310245714205,5.127407696028446,2200,5,220,0.1
3489,0.001585909090909091,5.588739569941256,5.127407696028446,2200,5,220,0.1
3490,0.0015863636363636364,5.581168894168308,5.127407696028446,2200,5,220,0.1
3491,0.0015868181818181819,5.573598218395359,5.127407696028446,2200,5,220,0.1
3492,0.0015872727272727273,5.562242204735936,5.1198060910213306,2200,5,220,0.1
3493,0.0015877272727272728,5.558456866849462,5.123606893524888,2200,5,220,0.1
3494,0.0015881818181818182,5.558456866849462,5.123606893524888,2200,5,220,0.1
3495,0.0015886363636363637,5.550886191076513,5.116005288517772,2200,5,220,0.1
3496,0.0015890909090909091,5.547100853190039,5.108403683510655,2200,5,220,0.1
3497,0.0015895454545454546,5.53953017741709,5.112204486014214,2200,5,220,0.1
3498,0.00159,5.535744839530616,5.112204486014214,2200,5,220,0.1
3499,0.0015904545454545455,5.528174163757667,5.116005288517772,2200,5,220,0.1
3500,0.001590909090909091,5.520603487984718,5.116005288517772,2200,5,220,0.1
3501,0.0015913636363636364,5.51303281221177,5.108403683510655,2200,5,220,0.1
3502,0.0015918181818181819,5.509247474325295,5.108403683510655,2200,5,220,0.1
3503,0.0015922727272727273,5.505462136438821,5.104602881007097,2200,5,220,0.1
3504,0.0015927272727272728,5.497891460665872,5.104602881007097,2200,5,220,0.1
3505,0.0015931818181818182,5.490320784892924,5.104602881007097,2200,5,220,0.1
3506,0.0015936363636363637,5.486535447006449,5.104602881007097,2200,5,220,0.1
3507,0.0015940909090909092,5.478964771233501,5.097001275999981,2200,5,220,0.1
3508,0.0015945454545454546,5.4713940954605516,5.1008020785035395,2200,5,220,0.1
3509,0.001595,5.4638234196876025,5.104602881007097,2200,5,220,0.1
3510,0.0015954545454545455,5.456252743914654,5.1008020785035395,2200,5,220,0.1
3511,0.001595909090909091,5.4524674060281795,5.097001275999981,2200,5,220,0.1
3512,0.0015963636363636364,5.441111392368756,5.093200473496423,2200,5,220,0.1
3513,0.0015968181818181819,5.437326054482282,5.093200473496423,2200,5,220,0.1
3514,0.0015972727272727273,5.425970040822859,5.089399670992864,2200,5,220,0.1
3515,0.0015977272727272728,5.422184702936385,5.093200473496423,2200,5,220,0.1
3516,0.0015981818181818183,5.41839936504991,5.089399670992864,2200,5,220,0.1
3517,0.0015986363636363637,5.407043351390487,5.085598868489306,2200,5,220,0.1
3518,0.0015990909090909092,5.399472675617539,5.085598868489306,2200,5,220,0.1
3519,0.0015995454545454546,5.39190199984459,5.07799726348219,2200,5,220,0.1
3520,0.0016,5.384331324071641,5.081798065985748,2200,5,220,0.1
3521,0.0016004545454545455,5.380545986185167,5.07799726348219,2200,5,220,0.1
3522,0.001600909090909091,5.376760648298693,5.07799726348219,2200,5,220,0.1
3523,0.0016013636363636364,5.369189972525744,5.07799726348219,2200,5,220,0.1
3524,0.001601818181818182,5.36540463463927,5.07799726348219,2200,5,220,0.1
3525,0.0016022727272727274,5.354048620979847,5.07799726348219,2200,5,220,0.1
3526,0.0016027272727272728,5.350263283093372,5.07799726348219,2200,5,220,0.1
3527,0.0016031818181818183,5.342692607320424,5.074196460978632,2200,5,220,0.1
3528,0.0016036363636363637,5.335121931547475,5.074196460978632,2200,5,220,0.1
3529,0.0016040909090909092,5.335121931547475,5.074196460978632,2200,5,220,0.1
3530,0.0016045454545454546,5.327551255774526,5.07799726348219,2200,5,220,0.1
3531,0.001605,5.316195242115103,5.074196460978632,2200,5,220,0.1
3532,0.0016054545454545455,5.312409904228629,5.07799726348219,2200,5,220,0.1
3533,0.001605909090909091,5.312409904228629,5.074196460978632,2200,5,220,0.1
3534,0.0016063636363636365,5.3010538905692055,5.066594855971515,2200,5,220,0.1
3535,0.001606818181818182,5.2972685526827314,5.070395658475073,2200,5,220,0.1
3536,0.0016072727272727274,5.289697876909782,5.070395658475073,2200,5,220,0.1
3537,0.0016077272727272728,5.282127201136833,5.070395658475073,2200,5,220,0.1
3538,0.0016081818181818183,5.278341863250359,5.0627940534679565,2200,5,220,0.1
3539,0.0016086363636363637,5.27077118747741,5.066594855971515,2200,5,220,0.1
3540,0.0016090909090909092,5.27077118747741,5.0627940534679565,2200,5,220,0.1
3541,0.0016095454545454546,5.263200511704462,5.058993250964399,2200,5,220,0.1
3542,0.00161,5.259415173817987,5.058993250964399,2200,5,220,0.1
3543,0.0016104545454545456,5.251844498045039,5.05519244846084,2200,5,220,0.1
3544,0.001610909090909091,5.24427382227209,5.0627940534679565,2200,5,220,0.1
3545,0.0016113636363636365,5.240488484385616,5.058993250964399,2200,5,220,0.1
3546,0.001611818181818182,5.236703146499141,5.058993250964399,2200,5,220,0.1
3547,0.0016122727272727272,5.225347132839718,5.05519244846084,2200,5,220,0.1
3548,0.0016127272727272726,5.21777645706677,5.05519244846084,2200,5,220,0.1
3549,0.001613181818181818,5.210205781293821,5.05519244846084,2200,5,220,0.1
3550,0.0016136363636363635,5.206420443407347,5.05519244846084,2200,5,220,0.1
3551,0.001614090909090909,5.198849767634398,5.051391645957282,2200,5,220,0.1
3552,0.0016145454545454544,5.202635105520872,5.05519244846084,2200,5,220,0.1
3553,0.001615,5.195064429747924,5.051391645957282,2200,5,220,0.1
3554,0.0016154545454545454,5.191279091861449,5.05519244846084,2200,5,220,0.1
3555,0.0016159090909090908,5.183708416088501,5.051391645957282,2200,5,220,0.1
3556,0.0016163636363636363,5.172352402429078,5.051391645957282,2200,5,220,0.1
3557,0.0016168181818181817,5.168567064542603,5.047590843453724,2200,5,220,0.1
3558,0.0016172727272727272,5.168567064542603,5.047590843453724,2200,5,220,0.1
3559,0.0016177272727272726,5.160996388769655,5.047590843453724,2200,5,220,0.1
3560,0.001618181818181818,5.153425712996706,5.047590843453724,2200,5,220,0.1
3561,0.0016186363636363635,5.1496403751102315,5.051391645957282,2200,5,220,0.1
3562,0.001619090909090909,5.145855037223757,5.051391645957282,2200,5,220,0.1
3563,0.0016195454545454545,5.1382843614508085,5.05519244846084,2200,5,220,0.1
3564,0.00162,5.1344990235643335,5.047590843453724,2200,5,220,0.1
3565,0.0016204545454545454,5.1344990235643335,5.0437900409501655,2200,5,220,0.1
3566,0.0016209090909090908,5.1231430099049104,5.0437900409501655,2200,5,220,0.1
3567,0.0016213636363636363,5.115572334131962,5.0437900409501655,2200,5,220,0.1
3568,0.0016218181818181817,5.111786996245487,5.0437900409501655,2200,5,220,0.1
3569,0.0016222727272727272,5.108001658359013,5.039989238446608,2200,5,220,0.1
3570,0.0016227272727272726,5.100430982586064,5.0437900409501655,2200,5,220,0.1
3571,0.001623181818181818,5.100430982586064,5.0437900409501655,2200,5,220,0.1
3572,0.0016236363636363636,5.089074968926641,5.0437900409501655,2200,5,220,0.1
3573,0.001624090909090909,5.085289631040167,5.039989238446608,2200,5,220,0.1
3574,0.0016245454545454545,5.085289631040167,5.039989238446608,2200,5,220,0.1
3575,0.001625,5.081504293153693,5.039989238446608,2200,5,220,0.1
3576,0.0016254545454545454,5.07014827949427,5.032387633439491,2200,5,220,0.1
3577,0.0016259090909090908,5.07014827949427,5.032387633439491,2200,5,220,0.1
3578,0.0016263636363636363,5.058792265834847,5.032387633439491,2200,5,220,0.1
3579,0.0016268181818181817,5.051221590061898,5.028586830935932,2200,5,220,0.1
3580,0.0016272727272727272,5.043650914288949,5.028586830935932,2200,5,220,0.1
3581,0.0016277272727272727,5.043650914288949,5.028586830935932,2200,5,220,0.1
3582,0.0016281818181818181,5.039865576402475,5.028586830935932,2200,5,220,0.1
3583,0.0016286363636363636,5.028509562743052,5.028586830935932,2200,5,220,0.1
3584,0.001629090909090909,5.024724224856578,5.032387633439491,2200,5,220,0.1
3585,0.0016295454545454545,5.024724224856578,5.028586830935932,2200,5,220,0.1
3586,0.00163,5.020938886970103,5.032387633439491,2200,5,220,0.1
3587,0.0016304545454545454,5.013368211197155,5.032387633439491,2200,5,220,0.1
3588,0.0016309090909090908,5.00958287331068,5.028586830935932,2200,5,220,0.1
3589,0.0016313636363636363,5.002012197537732,5.028586830935932,2200,5,220,0.1
3590,0.0016318181818181818,4.994441521764783,5.028586830935932,2200,5,220,0.1
3591,0.0016322727272727272,4.990656183878309,5.020985225928817,2200,5,220,0.1
3592,0.0016327272727272727,4.9830855081053596,5.020985225928817,2200,5,220,0.1
3593,0.0016331818181818181,4.9793001702188855,5.024786028432374,2200,5,220,0.1
3594,0.0016336363636363636,4.9717294944459365,5.024786028432374,2200,5,220,0.1
3595,0.001634090909090909,4.967944156559462,5.024786028432374,2200,5,220,0.1
3596,0.0016345454545454545,4.967944156559462,5.024786028432374,2200,5,220,0.1
3597,0.001635,4.960373480786513,5.024786028432374,2200,5,220,0.1
3598,0.0016354545454545454,4.960373480786513,5.020985225928817,2200,5,220,0.1
3599,0.0016359090909090909,4.952802805013564,5.020985225928817,2200,5,220,0.1
3600,0.0016363636363636363,4.945232129240616,5.020985225928817,2200,5,220,0.1
3601,0.0016368181818181818,4.937661453467667,5.020985225928817,2200,5,220,0.1
3602,0.0016372727272727272,4.933876115581193,5.020985225928817,2200,5,220,0.1
3603,0.0016377272727272727,4.933876115581193,5.024786028432374,2200,5,220,0.1
3604,0.0016381818181818181,4.930090777694718,5.024786028432374,2200,5,220,0.1
3605,0.0016386363636363636,4.92252010192177,5.024786028432374,2200,5,220,0.1
3606,0.001639090909090909,4.911164088262347,5.020985225928817,2200,5,220,0.1
3607,0.0016395454545454545,4.903593412489398,5.020985225928817,2200,5,220,0.1
3608,0.00164,4.899808074602924,5.017184423425258,2200,5,220,0.1
3609,0.0016404545454545454,4.899808074602924,5.020985225928817,2200,5,220,0.1
3610,0.0016409090909090909,4.892237398829975,5.020985225928817,2200,5,220,0.1
3611,0.0016413636363636363,4.892237398829975,5.020985225928817,2200,5,220,0.1
3612,0.0016418181818181818,4.892237398829975,5.020985225928817,2200,5,220,0.1
3613,0.0016422727272727272,4.884666723057026,5.020985225928817,2200,5,220,0.1
3614,0.0016427272727272727,4.884666723057026,5.020985225928817,2200,5,220,0.1
3615,0.0016431818181818182,4.880881385170552,5.024786028432374,2200,5,220,0.1
3616,0.0016436363636363636,4.869525371511129,5.017184423425258,2200,5,220,0.1
3617,0.001644090909090909,4.865740033624655,5.0133836209217,2200,5,220,0.1
3618,0.0016445454545454545,4.86195469573818,5.0133836209217,2200,5,220,0.1
3619,0.001645,4.854384019965232,5.009582818418141,2200,5,220,0.1
3620,0.0016454545454545454,4.846813344192283,5.017184423425258,2200,5,220,0.1
3621,0.0016459090909090909,4.846813344192283,5.017184423425258,2200,5,220,0.1
3622,0.0016463636363636363,4.83545733053286,5.009582818418141,2200,5,220,0.1
3623,0.0016468181818181818,4.83545733053286,5.017184423425258,2200,5,220,0.1
3624,0.0016472727272727273,4.831671992646385,5.017184423425258,2200,5,220,0.1
3625,0.0016477272727272727,4.827886654759911,5.017184423425258,2200,5,220,0.1
3626,0.0016481818181818182,4.820315978986962,5.0133836209217,2200,5,220,0.1
3627,0.0016486363636363636,4.816530641100488,5.009582818418141,2200,5,220,0.1
3628,0.001649090909090909,4.8127453032140135,5.009582818418141,2200,5,220,0.1
3629,0.0016495454545454545,4.8127453032140135,5.005782015914583,2200,5,220,0.1
3630,0.00165,4.8089599653275386,5.005782015914583,2200,5,220,0.1
3631,0.0016504545454545454,4.7976039516681155,5.005782015914583,2200,5,220,0.1
3632,0.001650909090909091,4.786247938008692,5.005782015914583,2200,5,220,0.1
3633,0.0016513636363636364,4.782462600122218,5.009582818418141,2200,5,220,0.1
3634,0.0016518181818181818,4.778677262235744,5.009582818418141,2200,5,220,0.1
3635,0.0016522727272727273,4.774891924349269,5.009582818418141,2200,5,220,0.1
3636,0.0016527272727272727,4.767321248576321,5.009582818418141,2200,5,220,0.1
